Year,Champions Leauge,Fifa Club World Cup,European Cup Winners' Cup,Fairs Cup,UEFA Super Cup,Latin Cup,Pyrenees Cup,La Liga,Copa del Rey,Spanish Super Cup,Spanish League Cup,Mediterranian League,Catalan League,Catalan League Championship,Catalan Super Cup ,Catalan Cup,Eva Duarte Cup,Copa Martini-Rossi,Total
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1902,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1903,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1905,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1909,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1910,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,3
1911,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
1912,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
1913,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,3
1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1916,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1919,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1920,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
1921,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1922,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1925,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
1926,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
1927,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1928,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
1929,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1930,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1931,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1932,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1935,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1936,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1937,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1938,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1942,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1945,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
1949,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,4
1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1951,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1952,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,5
1953,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,4
1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1958,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1959,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
1960,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1979,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1982,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1983,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
1984,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1985,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1986,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1989,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1990,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1991,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
1992,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3
1993,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,4
1994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1995,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3
1998,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3
1999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2005,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
2006,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3
2007,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3
2010,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,4
2011,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3
2012,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,4
2013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
2014,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2
2015,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,4
2016,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4
2017,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
2018,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,3
